pcount,scount,party,name,colour
27.0,382.0,Labour,"Abbott, Diane",red
1.0,134.0,Labour,"Abrahams, Debbie",red
2.0,15.0,Conservative,"Adams, Nigel",blue
1.0,4.0,Conservative,"Afriyie, Adam",blue
0.0,1066.0,Scottish National Party,"Ahmed-Sheikh, Tasmina",yellow
9.0,126.0,Labour,"Ainsworth, Bob",red
10.0,187.0,Conservative,"Aldous, Peter",blue
0.0,3.0,Labour,"Alexander, Douglas",red
2.0,271.0,Labour,"Alexander, Heidi",red
1.0,78.0,Labour,"Ali, Rushanara",red
6.0,155.0,Labour,"Allen, Graham",red
0.0,1.0,Conservative,"Allen, Heidi",blue
0.0,12.0,Labour,"Allin-Khan, Rosena",red
0.0,6.0,Labour,"Amesbury, Mike",red
49.0,497.0,Conservative,"Amess, David",blue
67.0,1722.0,Labour,"Anderson, David",red
3.0,29.0,Conservative,"Andrew, Stuart",blue
0.0,9.0,Labour,"Antoniazzi, Tonia",red
4.0,25.0,Conservative,"Arbuthnot, James",blue
5.0,427.0,Scottish National Party,"Arkless, Richard",yellow
0.0,30.0,Labour/Co-operative,"Ashworth, Jon",pink
1.0,6.0,Labour,"Austin, Ian",red
2.0,35.0,Conservative,"Bacon, Richard",blue
5.0,142.0,Labour,"Bailey, Adrian",red
0.0,6.0,Labour,"Bain, William",red
0.0,2.0,Conservative,"Baker, Steven",blue
15.0,101.0,Conservative,"Baldry, Tony",blue
0.0,11.0,Labour,"Balls, Edward",red
6.0,130.0,Labour,"Banks, Gordon",red
9.0,1002.0,Scottish National Party,"Bardell, Hannah",yellow
0.0,1.0,Conservative,"Barker, Gregory",blue
10.0,42.0,Conservative,"Baron, John",blue
9.0,491.0,Labour,"Barron, Kevin",red
8.0,786.0,Labour,"Bayley, Hugh",red
0.0,2.0,Conservative,"Bebb, Guto",blue
0.0,7.0,Labour,"Beckett, Margaret",red
12.0,546.0,Labour,"Begg, Anne",red
5.0,296.0,Liberal Democrat,"Beith, Alan",orange
0.0,26.0,Labour,"Bell, Stuart",red
0.0,61.0,Conservative,"Bellingham, Henry",blue
3.0,48.0,Labour,"Benn, Hilary",red
1.0,218.0,Labour,"Benton, Joe",red
2.0,10.0,Conservative,"Benyon, Richard",blue
0.0,1.0,Conservative,"Beresford, Paul",blue
6.0,189.0,Labour,"Berger, Luciana",red
9.0,547.0,Labour,"Betts, Clive",red
0.0,4.0,Conservative,"Bingham, Andrew",blue
11.0,103.0,Conservative,"Binley, Brian",blue
0.0,63.0,Liberal Democrat,"Birtwistle, Gordon",orange
1.0,533.0,Scottish National Party,"Black, Mhairi",yellow
25.0,780.0,Scottish National Party,"Blackford, Ian",yellow
27.0,686.0,Conservative,"Blackman, Bob",blue
26.0,369.0,Scottish National Party,"Blackman, Kirsty",yellow
2.0,226.0,Labour,"Blackman-Woods, Roberta",red
2.0,96.0,Labour,"Blears, Hazel",red
20.0,796.0,Labour,"Blenkinsop, Tom",red
9.0,618.0,Labour,"Blomfield, Paul",red
3.0,183.0,Labour,"Blunkett, David",red
1.0,32.0,Conservative,"Blunt, Crispin",blue
1.0,40.0,Conservative,"Bone, Peter",blue
0.0,3.0,Conservative,"Borwick, Victoria",blue
4.0,591.0,Scottish National Party,"Boswell, Phil",yellow
72.0,4046.0,Conservative,"Bottomley, Peter",blue
2.0,16.0,Labour/Co-operative,"Brabin, Tracy",pink
0.0,1.0,Labour,"Bradshaw, Ben",red
8.0,273.0,Conservative,"Brady, Graham",blue
43.0,601.0,Liberal Democrat,"Brake, Tom",orange
0.0,5.0,Conservative,"Bray, Angie",blue
3.0,68.0,Conservative,"Brazier, Julian",blue
6.0,90.0,Labour,"Brennan, Kevin",red
9.0,97.0,Conservative,"Bridgen, Andrew",blue
3.0,16.0,Conservative,"Brine, Steve",blue
9.0,627.0,Scottish National Party,"Brock, Deidre",yellow
36.0,970.0,Liberal Democrat,"Brooke, Annette",orange
29.0,1349.0,Scottish National Party,"Brown, Alan",yellow
0.0,2.0,Labour,"Brown, Gordon",red
0.0,8.0,Labour,"Brown, Lyn",red
4.0,0.0,,"Brown, Nicholas",black
0.0,150.0,Labour,"Brown, Nick",red
1.0,139.0,Labour,"Brown, Russell",red
29.0,311.0,Conservative,"Bruce, Fiona",blue
19.0,251.0,Liberal Democrat,"Bruce, Malcolm",orange
8.0,90.0,Labour,"Bryant, Chris",red
0.0,49.0,Labour,"Buck, Karen",red
10.0,360.0,Labour,"Burden, Richard",red
2.0,74.0,Labour,"Burgon, Richard",red
2.0,36.0,Conservative,"Burley, Aidan",blue
0.0,15.0,Labour,"Burnham, Andy",red
0.0,1.0,Conservative,"Burns, Conor",blue
1.0,2.0,Conservative,"Burns, Simon",blue
0.0,1.0,Conservative,"Burrowes, David",blue
7.0,66.0,Liberal Democrat,"Burstow, Paul",orange
1.0,8.0,Conservative,"Burt, Alistair",blue
14.0,394.0,Liberal Democrat,"Burt, Lorely",orange
10.0,52.0,Labour,"Butler, Dawn",red
0.0,2.0,Conservative,"Byles, Dan",blue
5.0,22.0,Labour,"Byrne, Liam",red
0.0,30.0,Liberal Democrat,"Cable, Vincent",orange
2.0,154.0,Labour,"Cadbury, Ruth",red
0.0,30.0,Conservative,"Cairns, Alun",blue
2.0,70.0,Labour,"Cairns, David",red
20.0,634.0,Scottish National Party,"Cameron, Lisa",yellow
0.0,81.0,Labour,"Campbell, Alan",red
104.0,1701.0,DUP,"Campbell, Gregory",grey
6.0,465.0,Liberal Democrat,"Campbell, Menzies",orange
9.0,3331.0,Labour,"Campbell, Ronnie",red
2.0,22.0,Labour,"Carden, Dan",red
18.0,132.0,Liberal Democrat,"Carmichael, Alistair",orange
2.0,82.0,Conservative,"Carmichael, Neil",blue
1.0,52.0,Conservative,"Carswell, Douglas",blue
0.0,1.0,Conservative,"Cartlidge, James",blue
0.0,90.0,Conservative,"Cash, Bill",blue
9.0,0.0,,"Cash, William",black
22.0,4182.0,Labour,"Caton, Martin",red
1.0,33.0,Conservative,"Caulfield, Maria",blue
3.0,234.0,Labour,"Champion, Sarah",red
16.0,491.0,Scottish National Party,"Chapman, Douglas",yellow
2.0,278.0,Labour,"Chapman, Jenny",red
0.0,6.0,Labour,"Charalambous, Bambos",red
3.0,675.0,Scottish National Party,"Cherry, Joanna",yellow
1.0,4.0,Conservative,"Chishti, Rehman",blue
1.0,11.0,Conservative,"Chope, Christopher",blue
0.0,2.0,Conservative,"Churchill, Jo",blue
3.0,46.0,Conservative,"Clappison, James",blue
79.0,1861.0,Labour,"Clark, Katy",red
0.0,1.0,Conservative,"Clarke, Kenneth",blue
11.0,372.0,Labour,"Clarke, Tom",red
0.0,4.0,Liberal Democrat,"Clegg, Nick",orange
3.0,10.0,Conservative,"Clifton-Brown, Geoffrey",blue
47.0,347.0,Labour,"Clwyd, Ann",red
1.0,116.0,Labour,"Coaker, Vernon",red
21.0,96.0,Labour,"Coffey, Ann",red
10.0,82.0,Conservative,"Coffey, Therese",blue
0.0,2.0,Conservative,"Collins, Damian",blue
23.0,1017.0,Labour,"Connarty, Michael",red
0.0,41.0,Labour,"Cooper, Julie",red
7.0,1242.0,Labour,"Cooper, Rosie",red
0.0,13.0,Labour,"Cooper, Yvette",red
196.0,4083.0,Labour,"Corbyn, Jeremy",red
11.0,491.0,Scottish National Party,"Cowan, Ronnie",yellow
8.0,52.0,Labour,"Cox, Jo",red
1.0,59.0,Labour,"Coyle, Neil",red
0.0,1.0,Conservative,"Crabb, Stephen",blue
24.0,3335.0,Labour,"Crausby, David",red
52.0,1159.0,Scottish National Party,"Crawley, Angela",yellow
4.0,31.0,Labour,"Creagh, Mary",red
3.0,147.0,Labour,"Creasy, Stella",red
57.0,961.0,Liberal Democrat,"Crockart, Michael",orange
12.0,200.0,Conservative,"Crouch, Tracey",blue
4.0,287.0,Labour,"Cruddas, Jon",red
29.0,863.0,Labour,"Cryer, John",red
0.0,5.0,Labour,"Cummins, Judith",red
22.0,743.0,Labour,"Cunningham, Alex",red
55.0,2017.0,Labour,"Cunningham, Jim",red
15.0,691.0,Labour,"Cunningham, Tony",red
0.0,34.0,Labour,"Curran, Margaret",red
8.0,517.0,Labour,"Dakin, Nicholas",red
1.0,199.0,Labour,"Danczuk, Simon",red
0.0,3.0,Labour,"Darling, Alistair",red
0.0,3.0,Liberal Democrat,"Davey, Edward",orange
3.0,147.0,Labour,"David, Wayne",red
4.0,708.0,Labour,"Davidson, Ian",red
0.0,11.0,Conservative,"Davies, Byron",blue
0.0,1.0,Conservative,"Davies, Chris",blue
0.0,154.0,Conservative,"Davies, David",blue
5.0,0.0,,"Davies, David TC",black
20.0,356.0,Labour,"Davies, Geraint",red
1.0,35.0,Conservative,"Davies, Glyn",blue
0.0,1.0,Conservative,"Davies, James",blue
0.0,2.0,Conservative,"Davies, Mims",blue
17.0,254.0,Conservative,"Davies, Philip",blue
2.0,79.0,Conservative,"Davis, David",blue
21.0,1667.0,Scottish National Party,"Day, Martyn",yellow
0.0,38.0,Labour,"De Piero, Gloria",red
3.0,104.0,Labour,"Debbonaire, Thangam",red
0.0,6.0,Labour,"Denham, John",red
0.0,2.0,Conservative,"Dinenage, Caroline",blue
1.0,2.0,Conservative,"Djanogly, Jonathan",blue
36.0,3171.0,Labour,"Dobbin, Jim",red
7.0,479.0,Labour,"Dobson, Frank",red
47.0,686.0,Scottish National Party,"Docherty, Martin",yellow
